DATAFLOW,LAST UPDATE,freq,indic_em,sex,age,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:LFSI_EMP_A(1.0),20/06/23 23:00:00,A,EMP_LFS,F,Y15-64,THS_PER,EE,2014,296,
ESTAT:LFSI_EMP_A(1.0),20/06/23 23:00:00,A,EMP_LFS,F,Y15-64,THS_PER,EE,2015,300,
ESTAT:LFSI_EMP_A(1.0),20/06/23 23:00:00,A,EMP_LFS,F,Y15-64,THS_PER,EE,2016,299,
ESTAT:LFSI_EMP_A(1.0),20/06/23 23:00:00,A,EMP_LFS,F,Y15-64,THS_PER,EE,2017,308,
ESTAT:LFSI_EMP_A(1.0),20/06/23 23:00:00,A,EMP_LFS,F,Y15-64,THS_PER,EE,2018,306,
ESTAT:LFSI_EMP_A(1.0),20/06/23 23:00:00,A,EMP_LFS,F,Y15-64,THS_PER,EE,2019,307,
ESTAT:LFSI_EMP_A(1.0),20/06/23 23:00:00,A,EMP_LFS,F,Y15-64,THS_PER,EE,2020,302,
ESTAT:LFSI_EMP_A(1.0),20/06/23 23:00:00,A,EMP_LFS,F,Y15-64,THS_PER,EE,2021,301,
ESTAT:LFSI_EMP_A(1.0),20/06/23 23:00:00,A,EMP_LFS,F,Y15-64,THS_PER,EE,2022,312,
ESTAT:LFSI_EMP_A(1.0),20/06/23 23:00:00,A,EMP_LFS,F,Y15-64,THS_PER,EL,2009,1794,
ESTAT:LFSI_EMP_A(1.0),20/06/23 23:00:00,A,EMP_LFS,F,Y15-64,THS_PER,EL,2010,1744,
ESTAT:LFSI_EMP_A(1.0),20/06/23 23:00:00,A,EMP_LFS,F,Y15-64,THS_PER,EL,2011,1624,
ESTAT:LFSI_EMP_A(1.0),20/06/23 23:00:00,A,EMP_LFS,F,Y15-64,THS_PER,EL,2012,1490,
ESTAT:LFSI_EMP_A(1.0),20/06/23 23:00:00,A,EMP_LFS,F,Y15-64,THS_PER,EL,2013,1417,
ESTAT:LFSI_EMP_A(1.0),20/06/23 23:00:00,A,EMP_LFS,F,Y15-64,THS_PER,EL,2014,1448,
